Aanbieding in €,Adres,Adres_google,Categorie,Conclusie,Eindcijfer,Gewicht in gram,Hoeveelheid vulling,Jaar,Klefheid,Luchtigheid,Naam,Nevenvestiging,Opmerking,Plaats,Plaats op ranglijst,Prijs per stuk in €,Smaak,Uiterlijk,Vetpercentage,Zelf aangemeld voor deelname,Zoetheid
"10 voor  9,00",Ambachtsplein 20,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Zevenkamp,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Bergse Dorpsstraat 105,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Hillegersberg-noord,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Goudsesingel 21 A,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - In Dirk,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Gruttostraat 18,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Charlois,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Heiligerleelaan 32 (hoek Kleiweg),,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Hillegersberg-zuid,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Hesseplaats 94,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Hesseplaats,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Jan Steenstraat 31,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - In Dirk,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),33,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Kreeftstraat 36,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Kreeftstraat,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Lusthofstraat 73,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Kralingen,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Oudedijk 233 B,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Kralingen,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Peppelweg 79 A,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Schiebroek,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Pleinweg 156,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - In de Nettomarkt,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Poolsterstraat 50,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Alexandrium,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Schepenstraat 115,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - In Dirk,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Sicilieboulevard 414,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Nesselande,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Spinozaweg 193,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Lombardijen,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rotterdam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Hof van Spaland 50,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Hof van Spaland,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Schiedam,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Passage 21,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Centrum,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Vlaardingen,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Hogendorplaan 931,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Centrum,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Zwijndrecht,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Kort Ambachtlaan 107,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Kort Ambachtlaan,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Zwijndrecht,3.0,€ 0.95,,,15.1,,
-,Dorpsstraat 30,,Top 10, De kroon op het werk voor Hendri Jonker. Jaar na jaar slaagt hij erin om zich te verbeteren. Levert nu een meer dan voortreffelijke oliebol tegen een zeer schappelijke prijs.,9.0,90.2,,2016,,,Bakkerij Jonker Heerde,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Heerde,5.0,€ 0.75,,,11.4,,
-,Planetenbaan 23,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,2016,,,Bakker Roel - Winkelcentrum,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Bilthoven,8.0,€ 1,,,15.0,,
-,Markt 6,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,2016,,,Bakker Roel,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Breukelen,8.0,€ 1,,,15.0,,
-,Leidsche Rijn,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,2016,,,Bakker Roel - Winkelcentrum Parkwijk,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Utrecht,8.0,€ 1,,,15.0,,
-,Harmonieplein 23,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,2016,,,Bakker Roel - Winkelcentrum,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Maarssen,8.0,€ 1,,,15.0,,
-,Hoogzandveld 14,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,2016,,,Bakker Roel - Winkelcentrum,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Nieuwegein,8.0,€ 1,,,15.0,,
-,Burgemeester Reigerstraat 13,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,2016,,,Bakker Roel,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Utrecht,8.0,€ 1,,,15.0,,
-,Doornburglaan 6,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,2016,,,Bakker Roel - Winkelcentrum Rokade,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Utrecht,8.0,€ 1,,,15.0,,
-,Van Swindenstraat 2,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,2016,,,Bakker Roel,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Utrecht,8.0,€ 1,,,15.0,,
-,Vismarkt 2,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,2016,,,Bakker Roel,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Utrecht,8.0,€ 1,,,15.0,,
-,Prins Willem Alexanderplein 4,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,2016,,,Bakker Roel,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Lopik,8.0,€ 1,,,15.0,,
-,Rijnstraat 52,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,2016,,,Bakker Roel,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Woerden,8.0,€ 1,,,15.0,,
-,Bisonspoor 1126,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,2016,,,Bakker Roel - Winkelcentrum Bisonspoor,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Maarssenbroek,8.0,€ 1,,,15.0,,
-,Veenslag 4,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,2016,,,Bakker Roel - Winkelcentrum Ellekoot,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Veenendaal,8.0,€ 1,,,15.0,,
-,Everard Meijsterlaan 34,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,2016,,,Bakker Roel,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Utrecht,8.0,€ 1,,,15.0,,
-,Reeweg 76,,Top 10," Dat Van der Waal een goede oliebol kan bakken, was al bekend. Toch geldt deze top 10-plaats als een verrassing. Heerlijke bol met prima beet. Goed gevuld. Een echte oliebol.",8.5,89.9,,2016,,,Bakkerij Van der Waal,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),H.I. Ambacht,9.0,€ 0.9,,,14.4,,
-,Vlietplein 112A,,Top 10," Dat Van der Waal een goede oliebol kan bakken, was al bekend. Toch geldt deze top 10-plaats als een verrassing. Heerlijke bol met prima beet. Goed gevuld. Een echte oliebol.",8.5,89.9,,2016,,,Bakkerij Van der Waal,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Ridderkerk,9.0,€ 0.9,,,14.4,,
-,Jan Steenstraat 7,,Top 10," Dat Van der Waal een goede oliebol kan bakken, was al bekend. Toch geldt deze top 10-plaats als een verrassing. Heerlijke bol met prima beet. Goed gevuld. Een echte oliebol.",8.5,89.9,,2016,,,Bakkerij Van der Waal,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Ridderkerk,9.0,€ 0.9,,,14.4,,
-,Anjelierenstraat 8,,Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,,2016,,,Tijsterman Bakkers - Winkelcentrum de Hoftuin,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rijnsburg,10.0,€ 0.95,,,13.5,,
-,Jacoba van Beierenhof 32,,Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,,2016,,,Tijsterman Voorhout,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Voorhout,10.0,€ 0.95,,,13.5,,
-,Asterstraat 142,,Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,,2016,,,Tijsterman Katwijk,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Katwijk,10.0,€ 0.95,,,13.5,,
-,Planciusplantsoen 24,,Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,,2016,,,Tijsterman Bakkers - Winkelcentrum Noord Hofland,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Voorschoten,10.0,€ 0.95,,,13.5,,
-,Kopermolen 16,,Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,,2016,,,Tijsterman Bakkers - Winkelcentrum de Kopermolen,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Leiden,10.0,€ 0.95,,,13.5,,
-,Stevensbloem 161,,Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,,2016,,,Tijsterman Bakkers - Winkelcentrum Stevensbloem,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Leiden,10.0,€ 0.95,,,13.5,,
-,Comriekade 11,,Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,,2016,,,Tijsterman Woubrugge,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Woubrugge,10.0,€ 0.95,,,13.5,,
-,Dorpsstraat 27,,Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,,2016,,,Tijsterman Zoeterwoude,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Zoeterwoude,10.0,€ 0.95,,,13.5,,
-,Herenstraat 64,,Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,,2016,,,Tijsterman Wateringen,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Wateringen,10.0,€ 0.95,,,13.5,,
-,Dasstraat 6,,Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,,2016,,,Tijsterman Bakkers - Winkelcentrum Dashof,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Delft,10.0,€ 0.95,,,13.5,,
-,Vivaldi straat 7,,Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,,2016,,,Tijsterman Lisse,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Lisse,10.0,€ 0.95,,,13.5,,
-,Kopermolen 14,,Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,,2016,,,Tijsterman Caffe Leiden,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Leiden,10.0,€ 0.95,,,13.5,,
-,Hoofdstraat 218,,Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,,2016,,,Tijsterman Sassenheim en Caffe,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Sassenheim,10.0,€ 0.95,,,13.5,,
